Type,SKU,Name,Published,Visibility in catalog,Short description,Description,In stock?,Categories,Tags,Images
simple,TUE-BA-006,Bandeja con ganchos para anillos (tue-ba-006),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja con ganchos para anillos. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BA-006</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 3.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BA-006",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ba-006-bandeja-con-ganchos-para-anillos.jpg
simple,TUE-BC-001,Bandeja para charms (encantos) cuadros : 5 cm x 5 cm (35 cuadros) (tue-bc-001),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja para charms (encantos) cuadros : 5 cm x 5 cm (35 cuadros). Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BC-001</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 3.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BC-001",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-bc-001-bandeja-para-charms-encantos-cuadros-5-cm-x-5-cm-35-cuadros.jpg
simple,TUE-BC-002,Bandeja para charms (encantos) cuadros : 5 cm x 5 cm (35 cuadros) (tue-bc-002),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja para charms (encantos) cuadros : 5 cm x 5 cm (35 cuadros). Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BC-002</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 3.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BC-002",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-bc-002-bandeja-para-charms-encantos-cuadros-5-cm-x-5-cm-35-cuadros.jpg
simple,TUE-BC-003,Bandeja para charms (encantos) con tapa removible cuadros : 5 cm x 5 cm (35 cuadros o a convenir) (tue-bc-003),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja para charms (encantos) con tapa removible cuadros : 5 cm x 5 cm (35 cuadros o a convenir). Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BC-003</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 3.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BC-003",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-bc-003-bandeja-para-charms-encantos-con-tapa-removible-cuadros-5-cm-.jpg
simple,TUE-BC-004,Bandeja para charms (encantos) y anillos cuadros : 5 cm x 5 cm (tue-bc-004),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja para charms (encantos) y anillos cuadros : 5 cm x 5 cm. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-BC-004</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 4.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-BC-004",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-bc-004-bandeja-para-charms-encantos-y-anillos-cuadros-5-cm-x-5-cm.jpg
simple,TUE-S-009,Accesorio set anillo y aros (tue-s-009),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Accesorio set anillo y aros. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-S-009</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 4.</p>",1,Aros & Anillos,"anillos,TUE-S-009",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-s-009-accesorio-set-anillo-y-aros.jpg
simple,TUE-AN-010,Exhibidor set para anillos (tue-an-010),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Exhibidor set para anillos. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-AN-010</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 4.</p>",1,Aros & Anillos,"anillos,TUE-AN-010",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-an-010-exhibidor-set-para-anillos.jpg
simple,TUE-AN-021,Exhibidor para anillo individual (tue-an-021),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Exhibidor para anillo individual. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-AN-021</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 4.</p>",1,Aros & Anillos,"anillos,TUE-AN-021",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-an-021-exhibidor-para-anillo-individual.jpg
simple,TUE-AN-019,Set de cilindros para anillos (tue-an-019),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set de cilindros para anillos. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-AN-019</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 4.</p>",1,Aros & Anillos,"anillos,TUE-AN-019",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-an-019-set-de-cilindros-para-anillos.jpg
simple,TUE-AN-011,Set de cilindros para anillos (tue-an-011),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set de cilindros para anillos. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-AN-011</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 5.</p>",1,Aros & Anillos,"anillos,TUE-AN-011",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-an-011-set-de-cilindros-para-anillos.jpg
simple,TUE-AN-012,Cilindro para anillo (tue-an-012),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Cilindro para anillo. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-AN-012</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 5.</p>",1,Aros & Anillos,"anillos,TUE-AN-012",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-an-012-cilindro-para-anillo.jpg
simple,TUE-AN-020,Set de cilindros para anillos (tue-an-020),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set de cilindros para anillos. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-AN-020</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 5.</p>",1,Aros & Anillos,"anillos,TUE-AN-020",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-an-020-set-de-cilindros-para-anillos.jpg
simple,TUE-AN-013,Set exhibidor para 5 anillos (tue-an-013),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set exhibidor para 5 anillos. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-AN-013</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 5.</p>",1,Aros & Anillos,"anillos,TUE-AN-013",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-an-013-set-exhibidor-para-5-anillos.jpg
simple,TUE-AN-014,Exhibidor para anillos (tue-an-014),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Exhibidor para anillos. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-AN-014</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 6.</p>",1,Aros & Anillos,"anillos,TUE-AN-014",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-an-014-exhibidor-para-anillos.jpg
simple,TUE-AN-015,Exhibidor para anillos (tue-an-015),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Exhibidor para anillos. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-AN-015</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 6.</p>",1,Aros & Anillos,"anillos,TUE-AN-015",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-an-015-exhibidor-para-anillos.jpg
simple,TUE-AN-016,Exhibidor hexagonal para 14 anillos (tue-an-016),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Exhibidor hexagonal para 14 anillos. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-AN-016</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 6.</p>",1,Aros & Anillos,"anillos,TUE-AN-016",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-an-016-exhibidor-hexagonal-para-14-anillos.jpg
simple,TUE-AN-017,Bandeja exhibidor para 12 anillos (tue-an-017),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja exhibidor para 12 anillos. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-AN-017</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 6.</p>",1,Aros & Anillos,"anillos,TUE-AN-017",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-an-017-bandeja-exhibidor-para-12-anillos.jpg
simple,TUE-AN-018,Bandeja exhibidor para 7 anillos (tue-an-018),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Bandeja exhibidor para 7 anillos. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-AN-018</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 7.</p>",1,Aros & Anillos,"anillos,TUE-AN-018",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-an-018-bandeja-exhibidor-para-7-anillos.jpg
simple,TUE-019,"Set hexagonales 3 tamaños altura hexágonos : 10 cm, 8 cm, 6 cm (tue-019)",1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Set hexagonales 3 tamaños altura hexágonos : 10 cm, 8 cm, 6 cm. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-019</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 7.</p>",1,Vitrinas & Bandejas,"vitrina,TUE-019",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-019-set-hexagonales-3-tamanos-altura-hexagonos-10-cm-8-cm-6-cm.jpg
simple,TUE-CI-001,Te exhibidor cintillos o diademas altura : 19 cm (tue-ci-001),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Te exhibidor cintillos o diademas altura : 19 cm. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-CI-001</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 7.</p>",1,Cadenas & Collares,"cadenas,TUE-CI-001",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ci-001-te-exhibidor-cintillos-o-diademas-altura-19-cm.jpg
simple,TUE-CI-002,Te exhibidor cintillos o diademas altura : 19 cm y 27 cm (tue-ci-002),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Te exhibidor cintillos o diademas altura : 19 cm y 27 cm. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-CI-002</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 7.</p>",1,Cadenas & Collares,"cadenas,TUE-CI-002",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ci-002-te-exhibidor-cintillos-o-diademas-altura-19-cm-y-27-cm.jpg
simple,TUE-CI-003,Exhibidor cintillos o diademas altura : 25 cm (tue-ci-003),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Exhibidor cintillos o diademas altura : 25 cm. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-CI-003</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 7.</p>",1,Cadenas & Collares,"cadenas,TUE-CI-003",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-ci-003-exhibidor-cintillos-o-diademas-altura-25-cm.jpg
simple,TUE-PU-022,Exhibidor para pulseras rigidas altura : 3 cm (tue-pu-022),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Exhibidor para pulseras rigidas altura : 3 cm. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-PU-022</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 8.</p>",1,Pulseras & Relojes,"pulseras,TUE-PU-022",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-pu-022-exhibidor-para-pulseras-rigidas-altura-3-cm.jpg
simple,TUE-PU-023,"Media luna individual para pulsera altura : 4,5 cm (tue-pu-023)",1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Media luna individual para pulsera altura : 4,5 cm. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-PU-023</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 8.</p>",1,Pulseras & Relojes,"pulseras,TUE-PU-023",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-pu-023-media-luna-individual-para-pulsera-altura-4-5-cm.jpg
simple,TUE-PU-024,Exhibidor media luna para pulseras altura : 10 cm (tue-pu-024),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Exhibidor media luna para pulseras altura : 10 cm. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-PU-024</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 8.</p>",1,Pulseras & Relojes,"pulseras,TUE-PU-024",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-pu-024-exhibidor-media-luna-para-pulseras-altura-10-cm.jpg
simple,TUE-PU-025,Cilindro diagonal sencillo para pulseras (tue-pu-025),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Cilindro diagonal sencillo para pulseras. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-PU-025</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 8.</p>",1,Pulseras & Relojes,"pulseras,TUE-PU-025",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-pu-025-cilindro-diagonal-sencillo-para-pulseras.jpg
simple,TUE-PU-026,Cilindro vertical sencillo para pulseras (tue-pu-026),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Cilindro vertical sencillo para pulseras. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-PU-026</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 9.</p>",1,Pulseras & Relojes,"pulseras,TUE-PU-026",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-pu-026-cilindro-vertical-sencillo-para-pulseras.jpg
simple,TUE-PU-027,Exhibidor de pulseras con doble soporte horizontal sencillo (tue-pu-027),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Exhibidor de pulseras con doble soporte horizontal sencillo. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-PU-027</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 9.</p>",1,Pulseras & Relojes,"pulseras,TUE-PU-027",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-pu-027-exhibidor-de-pulseras-con-doble-soporte-horizontal-sencillo.jpg
simple,TUE-PU-028,Exhibidor de pulseras con doble soporte horizontal triple (tue-pu-028),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Exhibidor de pulseras con doble soporte horizontal triple. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-PU-028</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 9.</p>",1,Pulseras & Relojes,"pulseras,TUE-PU-028",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-pu-028-exhibidor-de-pulseras-con-doble-soporte-horizontal-triple.jpg
simple,TUE-PU-029,Te exhibidor de pulseras sencillo (tue-pu-029),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Te exhibidor de pulseras sencillo. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-PU-029</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 9.</p>",1,Pulseras & Relojes,"pulseras,TUE-PU-029",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-pu-029-te-exhibidor-de-pulseras-sencillo.jpg
simple,TUE-PU-030,Te exhibidor de pulseras doble (tue-pu-030),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Te exhibidor de pulseras doble. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-PU-030</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 10.</p>",1,Pulseras & Relojes,"pulseras,TUE-PU-030",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-pu-030-te-exhibidor-de-pulseras-doble.jpg
simple,TUE-PU-031,Te exhibidor de pulseras triple (tue-pu-031),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Te exhibidor de pulseras triple. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-PU-031</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 10.</p>",1,Pulseras & Relojes,"pulseras,TUE-PU-031",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-pu-031-te-exhibidor-de-pulseras-triple.jpg
simple,TUE-RE-032,Accesorio para pulseras/reloj horizontal (tue-re-032),1,visible,Fabricación chilena — cotizar por WhatsApp,"<p>Accesorio para pulseras/reloj horizontal. Exhibidor fabricado en Chile por Tu Exhibidor, con materiales nobles y terminaciones de fábrica.</p><ul><li><strong>Código:</strong> TUE-RE-032</li><li><strong>Cotización:</strong> consultar por WhatsApp</li></ul><p>Catálogo Canva (https://canva.link/v74u1w40pocahcs), página 10.</p>",1,Pulseras & Relojes,"pulseras,TUE-RE-032",https://tuexhibidor.cl/wp-content/uploads/catalog/tue-re-032-accesorio-para-pulseras-reloj-horizontal.jpg
